team_number,team_id,file_name,trainer_name,trainer_class,master_or_normal,format,set_number,team_label,source_file,source_page_url,pokemon_count,pokemon_species
346,T00000346,T00000346_AceTrainerJayden_MS1.txt,Jayden,Ace Trainer,M,S,1,Master Class Single Battles: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Breloom, Raikou, Vileplume"
347,T00000347,T00000347_AceTrainerJayden_MS1.txt,Jayden,Ace Trainer,M,S,1,Master Class Single Battles: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Bastiodon, Quagsire, Floatzel"
348,T00000348,T00000348_AceTrainerJayden_ND7.txt,Jayden,Ace Trainer,N,D,7,Double Battles Set 7: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,4,"Magnezone, Lapras, Tangrowth, Milotic"
349,T00000349,T00000349_AceTrainerJayden_ND7.txt,Jayden,Ace Trainer,N,D,7,Double Battles Set 7: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,4,"Ninetales, Garchomp, Leafeon, Floatzel"
350,T00000350,T00000350_AceTrainerEllis_NS7.txt,Ellis,Ace Trainer,N,S,7,Single Battles Set 7: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Scizor, Politoed, Aggron"
351,T00000351,T00000351_AceTrainerEllis_NS7.txt,Ellis,Ace Trainer,N,S,7,Single Battles Set 7: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Blastoise, Dragonite, Hippowdon"
352,T00000352,T00000352_AceTrainerEllis_MS1.txt,Ellis,Ace Trainer,M,S,1,Master Class Single Battles: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Skarmory, Gengar, Dragonite"
353,T00000353,T00000353_AceTrainerEllis_MS1.txt,Ellis,Ace Trainer,M,S,1,Master Class Single Battles: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Skarmory, Cloyster, Magnezone"
354,T00000354,T00000354_AceTrainerEllis_ND7.txt,Ellis,Ace Trainer,N,D,7,Double Battles Set 7: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,4,"Magmortar, Abomasnow, Walrein, Flygon"
355,T00000355,T00000355_AceTrainerEllis_ND7.txt,Ellis,Ace Trainer,N,D,7,Double Battles Set 7: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,4,"Vaporeon, Armaldo, Electivire, Espeon"
356,T00000356,T00000356_AceTrainerCelina_NS7.txt,Celina,Ace Trainer,N,S,7,Single Battles Set 7: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Feraligatr, Dusknoir, Snorlax"
357,T00000357,T00000357_AceTrainerCelina_NS7.txt,Celina,Ace Trainer,N,S,7,Single Battles Set 7: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Mamoswine, Electivire, Lucario"
358,T00000358,T00000358_AceTrainerCelina_MS1.txt,Celina,Ace Trainer,M,S,1,Master Class Single Battles: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Electivire, Electrode, Drifblim"
359,T00000359,T00000359_AceTrainerCelina_ND7.txt,Celina,Ace Trainer,N,D,7,Double Battles Set 7: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,4,"Slaking, Cradily, Togekiss, Meganium"
360,T00000360,T00000360_AceTrainerCelina_ND7.txt,Celina,Ace Trainer,N,D,7,Double Battles Set 7: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,4,"Dugtrio, Typhlosion, Dusknoir, Arcanine"
361,T00000361,T00000361_AceTrainerAbbey_NS7.txt,Abbey,Ace Trainer,N,S,7,Single Battles Set 7: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Umbreon, Feraligatr, Infernape"
362,T00000362,T00000362_AceTrainerAbbey_NS7.txt,Abbey,Ace Trainer,N,S,7,Single Battles Set 7: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Probopass, Poliwrath, Armaldo"
363,T00000363,T00000363_AceTrainerAbbey_MS1.txt,Abbey,Ace Trainer,M,S,1,Master Class Single Battles: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Abomasnow, Walrein, Mamoswine"
364,T00000364,T00000364_AceTrainerAbbey_MS1.txt,Abbey,Ace Trainer,M,S,1,Master Class Single Battles: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Abomasnow, Froslass, Walrein"
365,T00000365,T00000365_AceTrainerAbbey_ND7.txt,Abbey,Ace Trainer,N,D,7,Double Battles Set 7: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,4,"Pinsir, Electivire, Sceptile, Gardevoir"
366,T00000366,T00000366_AceTrainerAbbey_ND7.txt,Abbey,Ace Trainer,N,D,7,Double Battles Set 7: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,4,"Nidoking, Slaking, Swampert, Luxray"
367,T00000367,T00000367_AceTrainerIrene_NS7.txt,Irene,Ace Trainer,N,S,7,Single Battles Set 7: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Marowak, Umbreon, Arcanine"
368,T00000368,T00000368_AceTrainerIrene_NS7.txt,Irene,Ace Trainer,N,S,7,Single Battles Set 7: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Porygon-Z, Blaziken, Crobat"
369,T00000369,T00000369_AceTrainerIrene_MS1.txt,Irene,Ace Trainer,M,S,1,Master Class Single Battles: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Espeon, Cloyster, Raikou"
370,T00000370,T00000370_AceTrainerIrene_MS1.txt,Irene,Ace Trainer,M,S,1,Master Class Single Battles: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Espeon, Blaziken, Clefable"
371,T00000371,T00000371_AceTrainerIrene_ND7.txt,Irene,Ace Trainer,N,D,7,Double Battles Set 7: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,4,"Salamence, Floatzel, Blissey, Gliscor"
372,T00000372,T00000372_AceTrainerIrene_ND7.txt,Irene,Ace Trainer,N,D,7,Double Battles Set 7: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,4,"Glaceon, Slaking, Dragonite, Venusaur"
373,T00000373,T00000373_AceTrainerLionel_NS7.txt,Lionel,Ace Trainer,N,S,7,Single Battles Set 7: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Mamoswine, Dragonite, Rhyperior"
374,T00000374,T00000374_AceTrainerLionel_NS7.txt,Lionel,Ace Trainer,N,S,7,Single Battles Set 7: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Gliscor, Kingdra, Venusaur"
375,T00000375,T00000375_AceTrainerLionel_MS1.txt,Lionel,Ace Trainer,M,S,1,Master Class Single Battles: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Tyranitar, Garchomp, Gastrodon"
376,T00000376,T00000376_AceTrainerLionel_MS1.txt,Lionel,Ace Trainer,M,S,1,Master Class Single Battles: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,3,"Tyranitar, Dugtrio, Cradily"
377,T00000377,T00000377_AceTrainerLionel_ND7.txt,Lionel,Ace Trainer,N,D,7,Double Battles Set 7: Team A,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,4,"Yanmega, Arcanine, Blissey, Floatzel"
378,T00000378,T00000378_AceTrainerLionel_ND7.txt,Lionel,Ace Trainer,N,D,7,Double Battles Set 7: Team B,Ace_Trainer.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Ace_Trainer,4,"Dusknoir, Wailord, Arcanine, Steelix"
379,T00000379,T00000379_AromaLadySadie_NS2.txt,Sadie,Aroma Lady,N,S,2,Single Battles Set 2: Team A,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Nidorina, Chikorita, Seel"
380,T00000380,T00000380_AromaLadySadie_NS2.txt,Sadie,Aroma Lady,N,S,2,Single Battles Set 2: Team B,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Ariados, Kabuto, Roselia"
381,T00000381,T00000381_AromaLadySadie_NS3.txt,Sadie,Aroma Lady,N,S,3,Single Battles Set 3: Team A,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Pupitar, Vigoroth, Chimecho"
382,T00000382,T00000382_AromaLadySadie_ND2.txt,Sadie,Aroma Lady,N,D,2,Double Battles Set 2: Team A,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,4,"Cyndaquil, Dratini, Lombre, Magnemite"
383,T00000383,T00000383_AromaLadySadie_ND2.txt,Sadie,Aroma Lady,N,D,2,Double Battles Set 2: Team B,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,4,"Venonat, Treecko, Magnemite, Goldeen"
384,T00000384,T00000384_AromaLadySadie_ND3.txt,Sadie,Aroma Lady,N,D,3,Double Battles Set 3: Team A,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,4,"Togetic, Castform, Seadra, Luxio"
385,T00000385,T00000385_AromaLadyKierra_NS2.txt,Kierra,Aroma Lady,N,S,2,Single Battles Set 2: Team A,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Bonsly, Munchlax, Wailmer"
386,T00000386,T00000386_AromaLadyKierra_NS2.txt,Kierra,Aroma Lady,N,S,2,Single Battles Set 2: Team B,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Illumise, Plusle, Gloom"
387,T00000387,T00000387_AromaLadyKierra_NS3.txt,Kierra,Aroma Lady,N,S,3,Single Battles Set 3: Team A,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Metang, Shelgon, Mothim"
388,T00000388,T00000388_AromaLadyKierra_ND2.txt,Kierra,Aroma Lady,N,D,2,Double Battles Set 2: Team A,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,4,"Nidorina, Porygon, Ponyta, Magby"
389,T00000389,T00000389_AromaLadyKierra_ND2.txt,Kierra,Aroma Lady,N,D,2,Double Battles Set 2: Team B,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,4,"Bulbasaur, Shuppet, Phanpy, Drifloon"
390,T00000390,T00000390_AromaLadyKierra_ND3.txt,Kierra,Aroma Lady,N,D,3,Double Battles Set 3: Team A,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,4,"Castform, Lickitung, Qwilfish, Sudowoodo"
391,T00000391,T00000391_AromaLadyNikki_NS3.txt,Nikki,Aroma Lady,N,S,3,Single Battles Set 3: Team A,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Grotle, Grovyle, Gabite"
392,T00000392,T00000392_AromaLadyNikki_NS3.txt,Nikki,Aroma Lady,N,S,3,Single Battles Set 3: Team B,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Cherrim, Machoke, Pachirisu"
393,T00000393,T00000393_AromaLadyNikki_ND3.txt,Nikki,Aroma Lady,N,D,3,Double Battles Set 3: Team A,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,4,"Sealeo, Minun, Sunflora, Marshtomp"
394,T00000394,T00000394_AromaLadyNikki_ND3.txt,Nikki,Aroma Lady,N,D,3,Double Battles Set 3: Team B,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,4,"Combusken, Butterfree, Bibarel, Lunatone"
395,T00000395,T00000395_AromaLadyNikki_ND4.txt,Nikki,Aroma Lady,N,D,4,Double Battles Set 4: Team A,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,4,"Chansey, Pupitar, Magmar, Swalot"
396,T00000396,T00000396_AromaLadyHaylee_MS1.txt,Haylee,Aroma Lady,M,S,1,Master Class Single Battles: Team A,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Gengar, Ludicolo, Flygon"
397,T00000397,T00000397_AromaLadyHaylee_MS1.txt,Haylee,Aroma Lady,M,S,1,Master Class Single Battles: Team B,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Swampert, Togekiss, Garchomp"
398,T00000398,T00000398_AromaLadyHaylee_MS1.txt,Haylee,Aroma Lady,M,S,1,Master Class Single Battles: Team C,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Swampert, Togekiss, Dragonite"
399,T00000399,T00000399_AromaLadyNadia_MS1.txt,Nadia,Aroma Lady,M,S,1,Master Class Single Battles: Team A,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Milotic, Lanturn, Regice"
400,T00000400,T00000400_AromaLadyNadia_MS1.txt,Nadia,Aroma Lady,M,S,1,Master Class Single Battles: Team B,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Lanturn, Absol, Gengar"
401,T00000401,T00000401_AromaLadyNadia_MS1.txt,Nadia,Aroma Lady,M,S,1,Master Class Single Battles: Team C,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Regigigas, Porygon-Z, Salamence"
402,T00000402,T00000402_AromaLadyNadia_MS1.txt,Nadia,Aroma Lady,M,S,1,Master Class Single Battles: Team D,Aroma_Lady.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Aroma_Lady,3,"Espeon, Regigigas, Salamence"
403,T00000403,T00000403_BattleGirlPamela_NS4.txt,Pamela,Battle Girl,N,S,4,Single Battles Set 4: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,3,"Cacturne, Hitmontop, Torkoal"
404,T00000404,T00000404_BattleGirlPamela_NS5.txt,Pamela,Battle Girl,N,S,5,Single Battles Set 5: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,3,"Hitmontop, Granbull, Gastrodon"
405,T00000405,T00000405_BattleGirlPamela_ND4.txt,Pamela,Battle Girl,N,D,4,Double Battles Set 4: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Banette, Castform, Ninjask, Raticate"
406,T00000406,T00000406_BattleGirlPamela_ND4.txt,Pamela,Battle Girl,N,D,4,Double Battles Set 4: Team B,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Combusken, Dodrio, Camerupt, Castform"
407,T00000407,T00000407_BattleGirlPamela_ND5.txt,Pamela,Battle Girl,N,D,5,Double Battles Set 5: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Skarmory, Victreebel, Swampert, Infernape"
408,T00000408,T00000408_BattleGirlDaniela_NS5.txt,Daniela,Battle Girl,N,S,5,Single Battles Set 5: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,3,"Kabutops, Raichu, Granbull"
409,T00000409,T00000409_BattleGirlDaniela_ND4.txt,Daniela,Battle Girl,N,D,4,Double Battles Set 4: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Ninjask, Tropius, Bellossom, Clefable"
410,T00000410,T00000410_BattleGirlDaniela_ND4.txt,Daniela,Battle Girl,N,D,4,Double Battles Set 4: Team B,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Banette, Rotom, Seaking, Venomoth"
411,T00000411,T00000411_BattleGirlDaniela_ND5.txt,Daniela,Battle Girl,N,D,5,Double Battles Set 5: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Whiscash, Absol, Marowak, Granbull"
412,T00000412,T00000412_BattleGirlMelinda_NS5.txt,Melinda,Battle Girl,N,S,5,Single Battles Set 5: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,3,"Tropius, Raichu, Ambipom"
413,T00000413,T00000413_BattleGirlMelinda_ND4.txt,Melinda,Battle Girl,N,D,4,Double Battles Set 4: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Crawdaunt, Cacturne, Lumineon, Electabuzz"
414,T00000414,T00000414_BattleGirlMelinda_ND4.txt,Melinda,Battle Girl,N,D,4,Double Battles Set 4: Team B,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Girafarig, Tropius, Hitmontop, Gorebyss"
415,T00000415,T00000415_BattleGirlMelinda_ND5.txt,Melinda,Battle Girl,N,D,5,Double Battles Set 5: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Typhlosion, Gorebyss, Hypno, Charizard"
416,T00000416,T00000416_BattleGirlLorena_NS5.txt,Lorena,Battle Girl,N,S,5,Single Battles Set 5: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,3,"Medicham, Lopunny, Slowbro"
417,T00000417,T00000417_BattleGirlLorena_ND4.txt,Lorena,Battle Girl,N,D,4,Double Battles Set 4: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Clefable, Chansey, Gorebyss, Raticate"
418,T00000418,T00000418_BattleGirlLorena_ND4.txt,Lorena,Battle Girl,N,D,4,Double Battles Set 4: Team B,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Octillery, Solrock, Kingler, Chimecho"
419,T00000419,T00000419_BattleGirlLorena_ND5.txt,Lorena,Battle Girl,N,D,5,Double Battles Set 5: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Zangoose, Tauros, Blaziken, Cloyster"
420,T00000420,T00000420_BattleGirlEva_NS5.txt,Eva,Battle Girl,N,S,5,Single Battles Set 5: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,3,"Absol, Camerupt, Jumpluff"
421,T00000421,T00000421_BattleGirlEva_ND4.txt,Eva,Battle Girl,N,D,4,Double Battles Set 4: Team A,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Mantine, Golbat, Noctowl, Tropius"
422,T00000422,T00000422_BattleGirlEva_ND4.txt,Eva,Battle Girl,N,D,4,Double Battles Set 4: Team B,Battle_Girl.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Battle_Girl,4,"Metang, Omastar, Hitmontop, Sudowoodo"
